"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"8","12","78","45645.000","2880.000","15425.000","27","0","42765.000"
"8","13","49","32166.000","2147.000","13706.000","24","0","30019.000"
"8","11","26","14745.000","1236.000","7769.000","24","0","13509.000"
"6","13","42","22859.000","2436.000","10582.000","24","0","20423.000"
"6","9","43","25278.000","1636.000","9810.000","26","0","23642.000"
"5","14","47","26696.000","1446.000","12989.000","26","0","25250.000"
"7","12","60","32101.000","1423.000","6177.000","25","0","30678.000"
"9","14","64","36398.000","1892.000","16309.000","26","0","34506.000"
"9","10","49","28383.000","1200.000","8183.000","26","0","27183.000"
"7","16","62","36204.000","2503.000","22491.000","27","0","33701.000"
"8","7","35","20545.000","2255.000","4175.000","28","0","18290.000"
"7","12","60","34991.000","1545.000","11167.000","29","0","33446.000"
"6","10","38","21536.000","1249.000","6269.000","29","0","20287.000"
"6","12","53","27219.000","2156.000","11737.000","27","0","25063.000"
"7","16","53","31872.000","2288.000","17689.000","28","0","29584.000"
"7","11","57","30463.000","1575.000","11128.000","29","0","28888.000"
"8","11","39","21793.000","1467.000","9541.000","29","0","20326.000"
"8","12","42","24084.000","1387.000","9482.000","29","0","22697.000"
"11","15","45","26428.000","1590.000","12596.000","31","0","24838.000"
"9","15","53","27668.000","1811.000","11648.000","31","0","25857.000"
"9","12","50","28660.000","2050.000","12026.000","30","0","26610.000"
"9","18","76","44609.000","2728.000","21276.000","28","0","41881.000"
"11","14","52","31609.000","1943.000","17096.000","27","0","29666.000"
"11","13","50","25002.000","1213.000","10714.000","27","0","23789.000"
"8","7","39","23162.000","891.000","7368.000","28","0","22271.000"
"9","15","62","34200.000","3175.000","16086.000","28","0","31025.000"
"8","14","86","44548.000","1872.000","14128.000","28","0","42676.000"
"11","16","71","37241.000","1812.000","14108.000","28","0","35429.000"
"10","15","40","22033.000","1221.000","8253.000","28","0","20812.000"
"9","10","34","19368.000","1230.000","5974.000","29","0","18138.000"
"10","11","39","21422.000","1459.000","8660.000","28","0","19963.000"
"10","46","151","88170.000","33867.000","50089.000","28","0","54303.000"
"11","35","87","53640.000","19391.000","33253.000","28","0","34249.000"
"11","31","100","61250.000","24248.000","27308.000","27","0","37002.000"
"12","13","173","103850.000","47207.000","10300.000","29","0","56643.000"
"12","7","175","104007.000","50102.000","2863.000","30","0","53905.000"
"11","1","118","69005.000","32203.000","0.000","31","0","36802.000"
"10","7","75","48042.000","21032.000","5124.000","30","0","27010.000"
"11","5","93","53461.000","21470.000","7246.000","31","0","31991.000"
"11","7","78","48387.000","19860.000","4949.000","31","0","28527.000"
"10","7","81","46053.000","19686.000","5785.000","31","0","26367.000"
"11","11","109","62487.000","24940.000","6333.000","32","0","37547.000"
"10","12","120","69684.000","30322.000","5986.000","30","0","39362.000"
"10","6","110","68050.000","26673.000","4902.000","31","0","41377.000"
"9","6","64","34379.000","13597.000","6166.000","31","0","20782.000"
"11","7","82","42858.000","18545.000","4848.000","29","0","24313.000"
"9","2","41","25042.000","7716.000","692.000","30","0","17326.000"
"11","16","88","49051.000","16139.000","11832.000","29","0","32912.000"
"9","14","65","33366.000","10541.000","11821.000","29","0","22825.000"
"11","16","103","56990.000","16859.000","12508.000","29","0","40131.000"
"10","18","110","69340.000","22380.000","19581.000","29","0","46960.000"
"7","5","44","25159.000","8038.000","3512.000","28","0","17121.000"
"9","13","62","34529.000","10283.000","9778.000","29","0","24246.000"
"9","7","57","30536.000","8185.000","6254.000","30","0","22351.000"
"10","12","58","29463.000","6232.000","8700.000","31","0","23231.000"
"9","10","68","38985.000","10309.000","9878.000","32","0","28676.000"
"10","11","93","57180.000","16250.000","12446.000","32","0","40930.000"
"10","12","92","52994.000","13877.000","13537.000","31","0","39117.000"
"8","8","63","35520.000","5868.000","6563.000","28","0","29652.000"
"10","12","78","49410.000","11205.000","11715.000","29","0","38205.000"
"7","11","67","32724.000","7009.000","6090.000","29","0","25715.000"
"6","9","59","32395.000","7041.000","8666.000","29","0","25354.000"
"10","11","55","30727.000","7606.000","5590.000","30","0","23121.000"
"11","9","83","53864.000","17605.000","6127.000","31","0","36259.000"
"9","9","91","54686.000","13069.000","9558.000","31","0","41617.000"
"11","8","50","28362.000","7490.000","4834.000","30","0","20872.000"
"9","6","35","22559.000","5365.000","5579.000","30","0","17194.000"
"11","9","62","35700.000","5516.000","11355.000","31","0","30184.000"
"11","20","80","39611.000","2128.000","17891.000","31","0","37483.000"
"12","13","68","36774.000","2067.000","15606.000","31","0","34707.000"
"11","20","75","40520.000","2206.000","17796.000","31","0","38314.000"
"11","20","77","43176.000","1951.000","14482.000","31","0","41225.000"
"7","5","28","15552.000","419.000","3764.000","32","0","15133.000"
"8","15","62","36304.000","2402.000","19956.000","30","0","33902.000"
"8","16","61","37422.000","1941.000","16981.000","30","0","35481.000"
"11","14","43","21550.000","1934.000","11810.000","31","0","19616.000"
"9","14","49","28513.000","2118.000","14321.000","31","0","26395.000"
"10","14","65","37820.000","2494.000","17734.000","32","0","35326.000"
"11","11","74","44164.000","3537.000","9514.000","32","0","40627.000"
"9","18","72","35328.000","2245.000","17355.000","30","0","33083.000"
"6","7","33","18358.000","293.000","3717.000","26","0","18065.000"
"8","9","42","21539.000","734.000","5408.000","28","0","20805.000"
"9","13","69","34882.000","2558.000","16641.000","29","0","32324.000"
"9","14","66","38270.000","1635.000","13410.000","29","0","36635.000"
"10","12","95","48798.000","1611.000","13203.000","31","0","47187.000"
